public,indialends_customers_m,customer_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,indialends_customers_scrub_jan25,customer_number,score,priority,a_segment_old,a_segment,pl_closed_1l_in_2yr,pl_closed_50_in_1yr,pl_closed_50_in_6m,total_active_cc_limit_100k,total_active_cc_limit_50k,cc_age_morethan_18m,cc_age_morethan_12m,cc_utilization,dpd30plus_in6mon_flag,ever_60_flag,is_loan_open_in_6m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,lid_irr,loan_id,irr,rn,rnk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,lid_xirr,loan_id,xirr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,loan_dbr,id,customer_id,loan_id,create_date,dbr,salary,rented_obl,total_obl,bureau_loan,bureau_used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,loan_dbr1,id,customer_id,loan_id,create_date,dbr,salary,rented_obl,total_obl,bureau_loan,bureau_used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,manual_restructure_used,loan_id,customer_id,restructure_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,marginal_custoemrs,customer_id,loan_id,approved_amount,customer_type,producttype,first_loan_flag,loan_approval_date,loan_disbursal_date,first_installment_month,utm_source,score_value,approved_rate,processing_fees_rate,approved_tenure,okyc,enach,ever_30+,days_past_due_ever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,new_v1,loan_month,loan_creation_date,loan_status,lead_status,customer_id,utm_source,id,journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,original_loans,original_loan_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,ptc_dec_akaraposdistribution_v13,loan_id,overallpos,vintagedate,newpos,pos,posadjustment,posinterest,posadjustmentinterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,reject_base_aug_sep_24,customer_id,loan_id,create_date,loan_status,lead_status,score,report_id,rnkk,bureau_id,max_overdue_amount_gt1000,months_difference,pl_closed_1l_in_1yr,pl_closed_50_in_6m,pl_closed_50_in_3m,pl_closed_1l_in_2yr,pl_closed_50_in_1yr,pl_closed_50_in_2yr,is_loan_open_in_6m,dpd30plus_in6mon_flag,ever_60_flag,no_overdue_in_3m,cc_opened_in_last_3mon,no_dpd_in_cc,is_cc_present,cc_open_accounts,total_active_cc_limit_200k,total_active_cc_limit_150k,total_active_cc_limit_100k,total_active_cc_limit_50k,cc_age_morethan_6m,cc_age_morethan_12m,cc_age_morethan_18m,cc_utilization,segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,reject_base_may_jun_24,customer_id,loan_id,create_date,loan_status,lead_status,score,report_id,rnkk,bureau_id,max_overdue_amount_gt1000,months_difference,pl_closed_1l_in_1yr,pl_closed_50_in_6m,pl_closed_50_in_3m,pl_closed_1l_in_2yr,pl_closed_50_in_1yr,pl_closed_50_in_2yr,is_loan_open_in_6m,dpd30plus_in6mon_flag,ever_60_flag,no_overdue_in_3m,cc_opened_in_last_3mon,no_dpd_in_cc,is_cc_present,cc_open_accounts,total_active_cc_limit_200k,total_active_cc_limit_150k,total_active_cc_limit_100k,total_active_cc_limit_50k,cc_age_morethan_6m,cc_age_morethan_12m,cc_age_morethan_18m,cc_utilization,segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,repeat_loc_users_onpage,customer_id,date,loc_limit,loc_available_limit,loc_available_limit_slab,loc_error_curr,loc_error_future,re_kyc_pending,lib_banking,old_disb,old_disb_amt,curr_disb,curr_disb_amt,future_disb,future_disb_amt,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,sf_allocation_history,customer_id,day_past_due,product_type,bucket,region,vendor,allocation_date,partner_flag,vendor_id,vendor_code,agent_id,total_overdue_amount,principal_overdue,interest_overdue,charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,sf_allocation_resolution,customer_id,product_type,first_date,first_bucket,first_vendor,first_overdue,first_principal,first_interest,first_charge,payment_against_first,second_date,second_bkt,second_vendor,second_overdue,second_principal,second_interest,second_charge,payment_against_second,third_date,third_bkt,third_vendor,third_overdue,third_principal,third_interest,third_charge,payment_against_third,fourth_date,fourth_bkt,fourth_vendor,fourth_overdue,fourth_principal,fourth_interest,fourth_charge,payment_against_fourth,fifth_date,fifth_bkt,fifth_vendor,fifth_overdue,fifth_principal,fifth_interest,fifth_charge,payment_against_fifth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,sf_allocation_resolution_all_bkt,customer_id,product_type,first_date,first_bucket,first_vendor,first_overdue,first_principal,first_interest,first_charge,payment_against_first,second_date,second_bkt,second_vendor,second_overdue,second_principal,second_interest,second_charge,payment_against_second,third_date,third_bkt,third_vendor,third_overdue,third_principal,third_interest,third_charge,payment_against_third,fourth_date,fourth_bkt,fourth_vendor,fourth_overdue,fourth_principal,fourth_interest,fourth_charge,payment_against_fourth,fifth_date,fifth_bkt,fifth_vendor,fifth_overdue,fifth_principal,fifth_interest,fifth_charge,payment_against_fifth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,st_collection_lead_assign,id,customer_id,cl_lead_assign_id,create_date,update_date,allocation_date,add_user_id,update_user_id,fos_id,agency_id,col_org_id,product_group,priority_type,bucket,region,open_contact_flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,t_bounce_rate_trend,observationdate,productgroup,loan_type,foreclose_flag,interest_free_flag,cnt,paid_count,unpaid_count,inst_amount,received_emi,unpaid_amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,talon_sep24_data,loan_id,customer_id,observationdate,loan_disbursal_date,segment,approved_amount,cumulative_principal_payment,cumulative_interest_payment,totalcontractedinterest,current_status,default_status,fee_paid,cust_repeat_eligible_flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public,tbl_user,user_id,user_name,user_username,user_password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
